home,score,away,year
Qatar,-,Ecuador,2022
Senegal,-,Netherlands,2022
Qatar,-,Senegal,2022
Netherlands,-,Ecuador,2022
Ecuador,-,Senegal,2022
Netherlands,-,Qatar,2022
England,-,Iran,2022
United States,-,Wales,2022
Wales,-,Iran,2022
England,-,United States,2022
Wales,-,England,2022
Iran,-,United States,2022
Argentina,-,Saudi Arabia,2022
Mexico,-,Poland,2022
Poland,-,Saudi Arabia,2022
Argentina,-,Mexico,2022
Poland,-,Argentina,2022
Saudi Arabia,-,Mexico,2022
Denmark,-,Tunisia,2022
France,-,Australia,2022
Tunisia,-,Australia,2022
France,-,Denmark,2022
Australia,-,Denmark,2022
Tunisia,-,France,2022
Germany,-,Japan,2022
Spain,-,Costa Rica,2022
Japan,-,Costa Rica,2022
Spain,-,Germany,2022
Japan,-,Spain,2022
Costa Rica,-,Germany,2022
Morocco,-,Croatia,2022
Belgium,-,Canada,2022
Belgium,-,Morocco,2022
Croatia,-,Canada,2022
Croatia,-,Belgium,2022
Canada,-,Morocco,2022
Switzerland,-,Cameroon,2022
Brazil,-,Serbia,2022
Cameroon,-,Serbia,2022
Brazil,-,Switzerland,2022
Serbia,-,Switzerland,2022
Cameroon,-,Brazil,2022
Uruguay,-,South Korea,2022
Portugal,-,Ghana,2022
South Korea,-,Ghana,2022
Portugal,-,Uruguay,2022
Ghana,-,Uruguay,2022
South Korea,-,Portugal,2022
Netherlands,-,United States,2022
Argentina,-,Australia,2022
France,-,Poland,2022
England,-,Senegal,2022
Japan,-,Croatia,2022
Brazil,-,South Korea,2022
Morocco,-,Spain,2022
Portugal,-,Switzerland,2022
Croatia,-,Brazil,2022
Netherlands,-,Argentina,2022
Morocco,-,Portugal,2022
England,-,France,2022
Argentina,-,Croatia,2022
France,-,Morocco,2022
Croatia,-,Morocco,2022
Argentina,-,France,2022
